"ID Movimiento","Fecha","ID Producto","Nombre Producto","Cantidad","Tipo Movimiento","ID Almacen","Nombre Almacen"
"1","3/30/2023","104","Huevos","32","SALIDA","9","Almacen_9"
"2","2/14/2023","116","Yogur","70","ENTRADA","2","Almacen_2"
"3","2/27/2023","111","Zanahorias","52","SALIDA","4","Almacen_4"
"4","4/28/2023","120","Te","80","ENTRADA","5","Almacen_5"
"5","9/10/2023","113","Carne de res","59","ENTRADA","8","Almacen_8"
"6","6/24/2023","125","Cereal","67","ENTRADA","8","Almacen_8"
"7","9/8/2023","121","Azucar","54","ENTRADA","5","Almacen_5"
"8","9/3/2023","118","Aceite de oliva","100","SALIDA","2","Almacen_2"
"9","11/23/2023","120","Te","70","ENTRADA","10","Almacen_10"
"10","2/24/2023","102","Naranjas","38","SALIDA","3","Almacen_3"
"11","5/21/2023","119","Cafe","100","ENTRADA","10","Almacen_10"
"12","5/28/2023","102","Naranjas","10","SALIDA","5","Almacen_5"
"13","4/5/2023","121","Azucar","16","ENTRADA","6","Almacen_6"
"14","11/11/2023","103","Leche","32","ENTRADA","1","Almacen_1"
"15","2/5/2023","119","Cafe","67","SALIDA","9","Almacen_9"
"16","3/31/2023","109","Patatas","96","ENTRADA","8","Almacen_8"
"17","12/11/2023","117","Mantequilla","95","ENTRADA","3","Almacen_3"
"18","11/27/2023","111","Zanahorias","15","ENTRADA","8","Almacen_8"
"19","5/31/2023","125","Cereal","14","SALIDA","6","Almacen_6"
"20","6/28/2023","114","Pescado","5","SALIDA","5","Almacen_5"
"21","1/27/2023","100","Manzanas","89","SALIDA","8","Almacen_8"
"22","1/20/2023","120","Te","30","SALIDA","6","Almacen_6"
"23","7/17/2023","117","Mantequilla","84","ENTRADA","6","Almacen_6"
"24","8/13/2023","126","Galletas","34","SALIDA","4","Almacen_4"
"25","12/17/2023","126","Galletas","63","ENTRADA","3","Almacen_3"
"26","7/25/2023","118","Aceite de oliva","62","SALIDA","9","Almacen_9"
"27","11/1/2023","113","Carne de res","78","ENTRADA","1","Almacen_1"
"28","8/16/2023","126","Galletas","47","ENTRADA","4","Almacen_4"
"29","3/10/2023","120","Te","51","SALIDA","2","Almacen_2"
"30","4/17/2023","102","Naranjas","70","SALIDA","5","Almacen_5"
"31","2/28/2023","104","Huevos","5","ENTRADA","3","Almacen_3"
"32","11/10/2023","108","Tomates","99","SALIDA","7","Almacen_7"
"33","1/30/2023","119","Cafe","99","ENTRADA","2","Almacen_2"
"34","1/31/2023","122","Sal","24","ENTRADA","8","Almacen_8"
"35","8/22/2023","111","Zanahorias","94","ENTRADA","10","Almacen_10"
"36","9/5/2023","108","Tomates","79","SALIDA","10","Almacen_10"
"37","4/17/2023","120","Te","67","ENTRADA","7","Almacen_7"
"38","12/9/2023","125","Cereal","97","SALIDA","7","Almacen_7"
"39","1/17/2023","129","Refrescos","76","ENTRADA","2","Almacen_2"
"40","5/16/2023","122","Sal","59","ENTRADA","3","Almacen_3"
